"presup_id","presup_numero","presup_fecha_creacion","cliente_rut","presup_detalle","presup_neto_uf","presup_iva_uf","presup_total_uf","presup_neto_clp","presup_iva_clp","presup_total_clp","presup_enviado","presup_fecha_envio","presup_adjudicada","presup_oc_cliente","estatus_codigo","area_codigo"
"124","20220005","2022-01-25","77081467","Carro para Consola","0","0","0","33.3","6.327","39.627","1","2022-03-09","1","0","3","1"
"125","20220006","2022-01-25","77853060","Soporte RIel DIN","0","0","0","2.5","0.475","2.975","1","2022-03-07","0","0","5","1"
"126","20220007","2022-01-25","76150453","Camaras Instalación","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"127","20220008","2022-01-31","76406396","Actualizacion Documentacion y Charlas","0","0","0","345898","65720.62","411618.62","1","2022-03-07","1","0","3","1"
"128","20220009","2022-02-23","77853060","Instalacion Gabinetes Parque","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"129","20220010","2022-03-02","77853060","Fabricación Zocalo Muestra","0","0","0","2.4","0.456","2.856","1","2022-03-02","1","0","3","1"
"130","20220011","2022-03-16","76308092","Cotizacion Asesoria Cables y canalización","0","0","0","11.5","2.185","13.685","1","2022-03-16","1","0","3","1"
"131","20220012","2022-03-29","77081467","Planimetria de Detalle en planos de perforadora","0","0","0","15.5","2.945","18.445","1","2022-03-29","1","0","2","1"
"132","20220013","2022-04-04","83156400","HPU Apertura Válvulas","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"133","20220014","2022-04-04","96939290","iControl","0","0","0","725","137.75","862.75","1","2022-04-08","0","0","5","1"
"134","20220015","2022-04-08","96939290","Integración Sistema Respaldo CCIPTV","0","0","0","127.07","24.1433","151.2133","1","2022-04-25","0","0","5","1"
"135","20220016","2022-04-11","83156400","Suministro Calefactor","0","0","0","36","6.84","42.84","1","2022-05-04","0","0","5","1"
"136","20220017","2022-04-27","77081467","Asesoria Ingenieria Jumbo","0","0","0","86.88","16.5072","103.3872","1","2022-06-03","0","0","5","1"
"137","20220018","2022-05-12","83156400","Ingenieria Detalle y Fabricación","0","0","0","58","11.02","69.02","1","2022-06-03","0","0","5","1"
"138","20220019","2022-05-17","76308092","Asesoria Técnica Planta ANFO","0","0","0","55","10.45","65.45","1","2022-05-20","1","0","3","2"
"139","20220020","2022-05-25","79670620","Asesoría Técnica para levantamiento de procesos y generación de procedimientos","0","0","0","45.92","8.7248","54.6448","1","2022-06-03","0","0","5","1"
"140","20220021","2022-06-01","83156400","Planimetria Hidraulica, procedimiento y Manual para HPU","0","0","0","8.5","1.615","10.115","1","2022-06-01","0","0","1","1"
"141","20220022","2022-06-22","87801300","Kit Bloqueo accionamiento","0","0","0","28.39","5.3941","33.7841","1","2022-06-23","0","0","5","1"
"142","20220023","2022-06-22","11111111","Camara Donde Rosita","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"143","20220024","2022-06-23","87801300","Suministro Herramienta","0","0","0","3.18","0.6042","3.7842","1","2022-06-28","0","0","5","1"
"144","20220025","2022-06-27","96939290","Mantención CCIPTV","0","0","0","10","1.9","11.9","1","2022-06-28","0","0","5","1"
"145","20220026","2022-06-28","79670620","CCIPTV","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"146","20220027","2022-07-04","76227763","Suministro de Marcas","0","0","0","3.8","0.722","4.522","1","2022-07-06","1","4688","3","1"
"147","20220028","2022-07-07","83156400","Central Giro Lento","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"148","20220029","2022-07-11","83156400","Prensa Filtros","0","0","0","618.27","117.4713","735.7413","1","2022-08-24","0","0","3","1"
"149","20220030","2022-07-29","76308092","Partida Motor ","0","0","0","14.98","2.8462","17.8262","1","2022-11-02","0","0","5","1"
"150","20220031","2022-08-02","76308092","Servicio en Terreno","0","0","0","1.5","0.285","1.785","1","2022-09-09","1","0","2","1"
"151","20220032","2022-08-10","83156400","Fabricacion Central","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"152","20220033","2022-08-11","83156400","Planimetria Unidad Enfriamiento","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"153","20220034","2022-08-12","76308092","Adicionales Asesoria Planta Anfo","0","0","0","131","24.89","155.89","1","2022-09-06","0","0","1","1"
"154","20220035","2022-08-17","83156400","Atril de trabajo PTO","0","0","0","137.86","26.1934","164.0534","1","2022-08-24","1","0","2","1"
"155","20220036","2022-08-22","83156400","Modificación Plano Enfriamiento","0","0","0","23","4.37","27.37","1","2022-08-24","0","0","1","1"
"156","20220037","2022-08-24","77146365","Suministro de Componentes Hidraulicos ","0","0","0","61.47","11.6793","73.1493","1","2022-08-25","0","0","5","1"
"157","20220038","2022-08-24","77146365","Asesoria Componentes hidraulicos","0","0","0","18","3.42","21.42","1","2022-08-25","0","0","5","1"
"158","20220039","2022-08-26","77146365","Overhaul Comando PVG","0","0","0","49.21","9.3499","58.5599","1","2022-08-29","0","0","5","1"
"159","20220040","2022-08-31","83156400","Modificacion Plano Goodyear","0","0","0","10","1.9","11.9","1","2022-08-31","1","11813320","3","1"
"160","20220041","2022-09-06","76406396","Induccion ODI ","0","0","0","14","2.66","16.66","1","2022-09-08","1","0","3","1"
"161","20220042","2022-09-09","11111111","Servicio Impresion etiquetas","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"162","20220043","2022-09-20","77146365","Desarrollo Control Plus+1","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"163","20220044","2022-09-29","83156400","Bosquejo Central y Encapsulado","0","0","0","6","1.14","7.14","1","2022-09-29","1","0","4","1"
"164","20220045","2022-10-05","76406396","Induccion ODI","0","0","0","10.2","1.938","12.138","1","2022-10-05","1","0","3","1"
"165","20220046","2022-10-13","76308092","Gestion y Control Linea Automatizado","0","0","0","160","30.4","190.4","1","2022-10-13","0","0","5","1"
"166","20220047","2022-10-14","76227763","Suministro Etiquetas Consola","0","0","0","26.97","5.1243","32.0943","1","2022-10-26","0","0","1","1"
"167","20220048","2022-10-17","76308092","Suministro T-slot","0","0","0","86.5","16.435","102.935","0","0000-00-00","0","0","5","1"
"168","20220049","2022-10-18","77003406","Suministro Equipo VPN","0","0","0","16.32","3.1008","19.4208","1","2022-10-26","0","0","5","1"
"169","20220050","2022-10-18","83156400","Servicio Ingenieria Cargador de Barras Codelco","0","0","0","234.78","44.6082","279.3882","1","2022-10-26","0","0","2","1"
"170","20220051","2022-10-19","96822950","Servicio Terreno","0","0","0","14.5","2.755","17.255","1","2022-10-19","1","0","4","1"
"171","20220052","2022-10-24","76227763","Suministro Marcado Cables.","0","0","0","5.41","1.0279","6.4379","1","2022-10-26","1","0","3","1"
"172","20220053","2022-10-24","83156400","Planimetria Completa HPU + Display","0","0","0","55","10.45","65.45","1","2022-10-26","1","0","3","1"
"173","20220054","2022-10-24","96939290","Actualizacion Hardware Platoforma de Gestion","0","0","0","76.04","14.4476","90.4876","1","2022-10-26","0","0","5","1"
"174","20220055","2022-10-26","76308092","Monitoreo Remoto","0","0","0","175.73","33.3887","209.1187","1","2022-10-26","0","0","5","1"
"175","20220056","2022-11-11","83156400","APU TL Copiapo","0","0","0","143","27.17","170.17","1","2022-12-18","1","3000007","4","1"
"176","20220057","2022-11-16","11111111","CERRADO","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"177","20220058","2022-12-18","83156400","Bosquejo Unidad de enfriamiento","0","0","0","4","0.76","4.76","1","2022-12-18","0","0","1","1"
"178","20220059","2022-12-30","83156400","Planimetria Central móvil","0","0","0","0","0","0","1","2023-01-13","0","0","5","1"
"179","20220060","2022-12-30","11111111","Ingenieria Detalle sistema hidroneumatico para lavado de valvulas dardo","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"180","20230001","2023-01-04","11111111","CERRADO","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"181","20230002","2023-01-10","83156400","ITO Unidad Giro Lento","0","0","0","138","26.22","164.22","1","2023-01-13","1","0","3","1"
"182","20230003","2023-01-25","96939290","Automatización sincronizacion y distribucion.","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"183","20230004","2023-01-27","78972100","Suministro Equipo Acceso Remoto","0","0","0","33","6.27","39.27","1","2023-01-30","0","0","5","1"
"184","20230005","2023-02-21","77146365","Suminstro Equipo","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"185","20230006","2023-02-28","11111111","INGENIERIA Y PROGRAMACION GOLPE ARIETE","0","0","0","0","0","0","1","2023-03-07","0","0","5","1"
"186","20230007","2023-03-06","76227763","Suministro Marcas ","0","0","0","4.9","0.931","5.831","1","2023-03-07","1","0","3","1"
"187","20230008","2023-03-07","83156400","Suministro Proteccion Filtros","0","0","0","285000","54150","339150","1","2023-03-07","1","11814129","3","1"
"188","20230009","2023-03-13","76764668","Sistema Lora","0","0","0","0","0","0","0","0000-00-00","0","0","5","1"
"189","20230010","2023-03-15","83156400","Planos HPU encapsulada","0","0","0","55","10.45","65.45","1","2023-03-22","1","11814292","4","1"
"190","20230011","2023-03-15","83156400","Suministro Acrilicos","0","0","0","5.93","1.1267","7.0567","1","2023-03-22","1","11814213","3","1"
"191","20230012","2023-03-17","96939290","Plataforma Control Riego","0","0","0","0","0","0","1","2023-03-22","0","0","5","1"
"192","20230013","2023-03-22","76227763","Suministro Marcas Cables y Bornes","0","0","0","5.6","1.064","6.664","1","2023-03-22","0","0","3","1"
"193","20230014","2023-03-23","76227763","Suministro Marcas Boomer 281","0","0","0","4.6","0.874","5.474","1","2023-03-23","1","0","3","1"
"194","20230015","2023-03-23","77146365","Suministro componente","0","0","0","0","0","0","0","0000-00-00","0","0","3","1"
"195","20230016","2023-03-23","77146365","Servicio Asesoria","0","0","0","0","0","0","1","2023-03-23","0","0","3","1"
"196","20230017","2023-04-04","83156400","Suministro Carros de Taller","0","0","0","7.17","1.3623","8.5323","1","2023-04-08","0","0","5","1"
"197","20230018","2023-04-04","11111111","Ingenieria Baika","0","0","0","20000000","3800000","23800000","1","2023-04-14","0","0","1","1"
